"","DATE","PMID","YEAR","IF","JOURNAL","TITLE","AUTHORS","DOI","FULL_JOURNAL_NAME"
"43","2020 Jan","31822866","2020","30.822","Nat Methods","Publisher Correction: Analysis of the Human Protein Atlas Image Classification competition","Ouyang W, Winsnes CF, Hjelmare M, Cesnik AJ, Akesson L, Xu H, Sullivan DP, Dai S, Lan J, Jinmo P, Galib SM, Henkel C, Hwang K, Poplavskiy D, Tunguz B, Wolfinger RD, Gu Y, Li C, Xie J, Buslov D, Fironov S, Kiselev A, Panchenko D, Cao X, Wei R, Wu Y, Zhu X, Tseng KL, Gao Z, Ju C, Yi X, Zheng H, Kappel C, Lundberg E.","10.1038/s41592-019-0699-x","nature methods"
"44","2020 Aug 18","32795091","2020","23.603","Circulation","Myocyte-Specific Upregulation of ACE2 in Cardiovascular Disease: Implications for SARS-CoV-2-Mediated Myocarditis","Tucker NR*, Chaffin M*, Bedi KC Jr, Papangeli I, Akkad AD, Arduini A, Hayat S, Eraslan G, Muus C, Bhattacharyya RP, Stegmann CM; Human Cell Atlas Lung Biological Network, Margulies KB, Ellinor PT; Human Cell Atlas Lung Biological Network Consortium Members.","10.1161/CIRCULATIONAHA.120.047911","circulation"
"45","2020 Dec 15","33296687","2020","22.553","Immunity","Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19","Bernardes JP, Mishra N, Tran F, Bahmer T, Best L, Blase JI, Bordoni D, Franzenburg J, Geisen U, Josephs-Spaulding J, K""ohler P, K""unstner A, Rosati E, Aschenbrenner AC, Bacher P, Baran N, Boysen T, Brandt B, Bruse N, D""orr J, Dr""ager A, Elke G, Ellinghaus D, Fischer J, Forster M, Franke A, Franzenburg S, Frey N, Friedrichs A, Fuss J, Gl""uck A, Hamm J, Hinrichsen F, Hoeppner MP, Imm S, Junker R, Kaiser S, Kan YH, Knoll R, Lange C, Laue G, Lier C, Lindner M, Marinos G, Markewitz R, Nattermann J, Noth R, Pickkers P, Rabe KF, Renz A, R""ocken C, Rupp J, Schaffarzyk A, Scheffold A, Schulte-Schrepping J, Schunk D, Skowasch D, Ulas T, Wandinger KP, Wittig M, Zimmermann J, Busch H, Hoyer BF, Kaleta C, Heyckendorf J, Kox M, Rybniker J, Schreiber S, Schultze JL, Rosenstiel P; HCA Lung Biological Network; Deutsche COVID-19 Omics Initiative (DeCOI).","10.1016/j.immuni.2020.11.017","immunity"
"46","2020 Oct 2","33004487","2020","41.845","Science","A latent lineage potential in resident neural stem cells enables spinal cord repair","Llorens-Bobadilla E, Chell JM, Le Merre P, Wu Y, Zamboni M, Bergenstrahle J, Stenudd M, Sopova E, Lundeberg J, Shupliakov O, Carl'en M, Fris'en J.","10.1126/science.abb8795","science"
"47","2020 Sep 17","32946785","2020","38.637","Cell","Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma","Ji AL, Rubin AJ, Thrane K, Jiang S, Reynolds DL, Meyers RM, Guo MG, George BM, Mollbrink A, Bergenstrahle J, Larsson L, Bai Y, Zhu B, Bhaduri A, Meyers JM, Rovira-Clav'e X, Hollmig ST, Aasi SZ, Nolan GP, Lundeberg J, Khavari PA.","10.1016/j.cell.2020.08.043","cell"
"48","2020 Aug 18","32795091","2020","23.603","Circulation","Myocyte-Specific Upregulation of ACE2 in Cardiovascular Disease: Implications for SARS-CoV-2-Mediated Myocarditis","Tucker NR*, Chaffin M*, Bedi KC Jr, Papangeli I, Akkad AD, Arduini A, Hayat S, Eraslan G, Muus C, Bhattacharyya RP, Stegmann CM; Human Cell Atlas Lung Biological Network, Margulies KB, Ellinor PT; Human Cell Atlas Lung Biological Network Consortium Members.","10.1161/CIRCULATIONAHA.120.047911","circulation"
"49","2020 Aug 20","32702314","2020","38.637","Cell","Spatial Transcriptomics and In Situ Sequencing to Study Alzheimer's Disease","Chen WT, Lu A, Craessaerts K, Pavie B, Sala Frigerio C, Corthout N, Qian X, Lal'akov'a J, K""uhnemund M, Voytyuk I, Wolfs L, Mancuso R, Salta E, Balusu S, Snellinx A, Munck S, Jurek A, Fernandez Navarro J, Saido TC, Huitinga I, Lundeberg J, Fiers M, De Strooper B.","10.1016/j.cell.2020.06.038","cell"
"50","2020 Jul 23","32579974","2020","38.637","Cell","Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma","Ji AL, Rubin AJ, Thrane K, Jiang S, Reynolds DL, Meyers RM, Guo MG, George BM, Mollbrink A, Bergenstrahle J, Larsson L, Bai Y, Zhu B, Bhaduri A, Meyers JM, Rovira-Clav'e X, Hollmig ST, Aasi SZ, Nolan GP, Lundeberg J, Khavari PA.","10.1016/j.cell.2020.05.039","cell"
"51","2020 May 28","32413319","2020","38.637","Cell","SARS-CoV-2 Receptor ACE2 Is an Interferon-Stimulated Gene in Human Airway Epithelial Cells and Is Detected in Specific Cell Subsets across Tissues","Ziegler CGK, Allon SJ, Nyquist SK, Mbano IM, Miao VN, Tzouanas CN, Cao Y, Yousif AS, Bals J, Hauser BM, Feldman J, Muus C, Wadsworth MH 2nd, Kazer SW, Hughes TK, Doran B, Gatter GJ, Vukovic M, Taliaferro F, Mead BE, Guo Z, Wang JP, Gras D, Plaisant M, Ansari M, Angelidis I, Adler H, Sucre JMS, Taylor CJ, Lin B, Waghray A, Mitsialis V, Dwyer DF, Buchheit KM, Boyce JA, Barrett NA, Laidlaw TM, Carroll SL, Colonna L, Tkachev V, Peterson CW, Yu A, Zheng HB, Gideon HP, Winchell CG, Lin PL, Bingle CD, Snapper SB, Kropski JA, Theis FJ, Schiller HB, Zaragosi LE, Barbry P, Leslie A, Kiem HP, Flynn JL, Fortune SM, Berger B, Finberg RW, Kean LS, Garber M, Schmidt AG, Lingwood D, Shalek AK, Ordovas-Montanes J; HCA Lung Biological Network. Electronic address: lung-network@humancellatlas.org; HCA Lung Biological Network.","10.1016/j.cell.2020.04.035","cell"
"52","2020 May","32327758","2020","36.130","Nat Med","SARS-CoV-2 entry factors are highly expressed in nasal epithelial cells together with innate immune genes","Sungnak W, Huang N, B'ecavin C, Berg M, Queen R, Litvinukova M, Talavera-L'opez C, Maatz H, Reichart D, Sampaziotis F, Worlock KB, Yoshida M, Barnes JL; HCA Lung Biological Network.","10.1038/s41591-020-0868-6","nature medicine"
"53","2020 Jan","31740815","2020","30.822","Nat Methods","Probabilistic cell typing enables fine mapping of closely related cell types in situ","Qian X*, Harris KD*, Hauling T, Nicoloutsopoulos D, Mu~noz-Manchado AB, Skene N, Hjerling-Leffler J, Nilsson M.","10.1038/s41592-019-0631-4","nature methods"
"54","2020 Nov","32894860","2020","42.778","Nature","LifeTime and improving European healthcare through cell-based interceptive medicine","Rajewsky N*, Almouzni G*, Gorski SA*, Aerts S, Amit I, Bertero MG, Bock C, Bredenoord AL, Cavalli G, Chiocca S, Clevers H, De Strooper B, Eggert A, Ellenberg J, Fern'andez XM, Figlerowicz M, Gasser SM, Hubner N, Kjems J, Knoblich JA, Krabbe G, Lichter P, Linnarsson S, Marine JC, Marioni JC, Marti-Renom MA, Netea MG, Nickel D, Nollmann M, Novak HR, Parkinson H, Piccolo S, Pinheiro I, Pombo A, Popp C, Reik W, Roman-Roman S, Rosenstiel P, Schultze JL, Stegle O, Tanay A, Testa G, Thanos D, Theis FJ, Torres-Padilla ME, Valencia A, Vallot C, van Oudenaarden A, Vidal M, Voet T; LifeTime Community Working Groups.","10.1038/s41586-020-2715-9","nature"
"55","2019 Dec","31780840","2019","30.822","Nat Methods","Analysis of the Human Protein Atlas Image Classification competition","Ouyang W, Winsnes CF, Hjelmare M, Cesnik AJ, Akesson L, Xu H, Sullivan DP, Dai S, Lan J, Jinmo P, Galib SM, Henkel C, Hwang K, Poplavskiy D, Tunguz B, Wolfinger RD, Gu Y, Li C, Xie J, Buslov D, Fironov S, Kiselev A, Panchenko D, Cao X, Wei R, Wu Y, Zhu X, Tseng KL, Gao Z, Ju C, Yi X, Zheng H, Kappel C, Lundberg E.","10.1038/s41592-019-0658-6","nature methods"
"56","2019 Dec","31780825","2019","30.822","Nat Methods","ImJoy: an open-source computational platform for the deep learning era","Ouyang W, Mueller F, Hjelmare M, Lundberg E, Zimmer C.","10.1038/s41592-019-0627-0","nature methods"
"57","2019 Oct","31562479","2019","30.822","Nat Methods","Voices in methods development","Anikeeva P, Boyden E, Brangwynne C, Ciss'e II, Fiehn O, Fromme P, Gingras AC, Greene CS, Heard E, Hell SW, Hillman E, Jensen GJ, Karchin R, Kiessling LL, Kleinstiver BP, Knight R, Kukura P, Lancaster MA, Loman N, Looger L, Lundberg E, Luo Q, Miyawaki A, Myers EW Jr, Nolan GP, Picotti P, Reik W, Sauer M, Shalek AK, Shendure J, Slavov N, Tanay A, Troyanskaya O, van Valen D, Wang HW, Yi C, Yin P, Zernicka-Goetz M, Zhuang X.","10.1038/s41592-019-0585-6","nature methods"
"58","2019 Dec 12","31835037","2019","38.637","Cell","A Spatiotemporal Organ-Wide Gene Expression and Cell Atlas of the Developing Human Heart","Asp M, Giacomello S, Larsson L, Wu C, F""urth D, Qian X, W""ardell E, Custodio J, Reimegard J, Salm'en F, ""Osterholm C, Stahl PL, Sundstr""om E, Akesson E, Bergmann O, Bienko M, Mansson-Broberg A, Nilsson M, Sylv'en C, Lundeberg J.","10.1016/j.cell.2019.11.025","cell"
"59","2019 Dec 12","31835037","2019","38.637","Cell","A Spatiotemporal Organ-Wide Gene Expression and Cell Atlas of the Developing Human Heart","Asp M, Giacomello S, Larsson L, Wu C, F""urth D, Qian X, W""ardell E, Custodio J, Reimegard J, Salm'en F, ""Osterholm C, Stahl PL, Sundstr""om E, Akesson E, Bergmann O, Bienko M, Mansson-Broberg A, Nilsson M, Sylv'en C, Lundeberg J.","10.1016/j.cell.2019.11.025","cell"
"60","2019 Oct","31501547","2019","30.822","Nat Methods","High-definition spatial transcriptomics for in situ tissue profiling","Vickovic S, Eraslan G*, Salm'en F*, Klughammer J*, Stenbeck L*, Schapiro D, ""Aij""o T, Bonneau R, Bergenstrahle L, Navarro JF, Gould J, Griffin GK, Borg A, Ronaghi M, Fris'en J, Lundeberg J, Regev A, Stahl PL.","10.1038/s41592-019-0548-y","nature methods"
"61","2019 Apr 5","30948552","2019","41.845","Science","Spatiotemporal dynamics of molecular pathology in amyotrophic lateral sclerosis","Maniatis S*, ""Aij""o T*, Vickovic S*, Braine C, Kang K, Mollbrink A, Fagegaltier D, Andrusivov'a Z, Saarenp""a""a S, Saiz-Castro G, Cuevas M, Watters A, Lundeberg J, Bonneau R, Phatnani H.","10.1126/science.aav9776","science"
"62","2019 Mar","30814736","2019","42.778","Nature","A radical switch in clonality reveals a stem cell niche in the epiphyseal growth plate","Newton PT, Li L, Zhou B, Schweingruber C, Hovorakova M, Xie M, Sun X, Sandhow L, Artemov AV, Ivashkin E, Suter S, Dyachuk V, El Shahawy M, Gritli-Linde A, Bouderlique T, Petersen J, Mollbrink A, Lundeberg J, Enikolopov G, Qian H, Fried K, Kasper M, Hedlund E, Adameyko I, S""avendahl L, Chagin AS.","10.1038/s41586-019-0989-6","nature"
"63","2019 Dec 12","31835037","2019","38.637","Cell","A Spatiotemporal Organ-Wide Gene Expression and Cell Atlas of the Developing Human Heart","Asp M, Giacomello S, Larsson L, Wu C, F""urth D, Qian X, W""ardell E, Custodio J, Reimegard J, Salm'en F, ""Osterholm C, Stahl PL, Sundstr""om E, Akesson E, Bergmann O, Bienko M, Mansson-Broberg A, Nilsson M, Sylv'en C, Lundeberg J.","10.1016/j.cell.2019.11.025","cell"
"64","2019 Jun 7","31171666","2019","41.845","Science","Spatiotemporal structure of cell fate decisions in murine neural crest","Soldatov R*, Kaucka M*, Kastriti ME*, Petersen J, Chontorotzea T, Englmaier L, Akkuratova N, Yang Y, H""aring M, Dyachuk V, Bock C, Farlik M, Piacentino ML, Boismoreau F, Hilscher MM, Yokota C, Qian X, Nilsson M, Bronner ME, Croci L, Hsiao WY, Guertin DA, Brunet JF, Consalez GG, Ernfors P, Fried K, Kharchenko PV, Adameyko I.","10.1126/science.aas9536","science"
"65","2018 Oct","30125267","2018","36.558","Nat Biotechnol","Deep learning is combined with massive-scale citizen science to improve large-scale image classification","Sullivan DP, Winsnes CF, Akesson L, Hjelmare M, Wiking M, Schutten R, Campbell L, Leifsson H, Rhodes S, Nordgren A, Smith K, Revaz B, Finnbogason B, Szantner A, Lundberg E.","10.1038/nbt.4225","nature biotechnology"
"66","2018 Apr 19","29677507","2018","38.637","Cell","Seeing More: A Future of Augmented Microscopy","Sullivan DP, Lundberg E.","10.1016/j.cell.2018.04.003","cell"
"67","2018 Aug","30089906","2018","42.778","Nature","RNA velocity of single cells","La Manno G, Soldatov R, Zeisel A, Braun E, Hochgerner H, Petukhov V, Lidschreiber K, Kastriti ME, L""onnerberg P, Furlan A, Fan J, Borm LE, Liu Z, van Bruggen D, Guo J, He X, Barker R, Sundstr""om E, Castelo-Branco G, Cramer P, Adameyko I, Linnarsson S, Kharchenko PV.","10.1038/s41586-018-0414-6","nature"
"68","2018 Mar 22","29502968","2018","38.637","Cell","Reducing Pericyte-Derived Scarring Promotes Recovery after Spinal Cord Injury","Dias DO, Kim H, Holl D, Werne Solnestam B, Lundeberg J, Carl'en M, G""oritz C, Fris'en J.","10.1016/j.cell.2018.02.004","cell"
"69","2018 Nov","30377364","2018","30.822","Nat Methods","Spatial organization of the somatosensory cortex revealed by osmFISH","Codeluppi S, Borm LE, Zeisel A, La Manno G, van Lunteren JA, Svensson CI, Linnarsson S.","10.1038/s41592-018-0175-z","nature methods"
"70","2018 Aug 9","30096314","2018","38.637","Cell","Molecular Architecture of the Mouse Nervous System","Zeisel A, Hochgerner H, L""onnerberg P, Johnsson A, Memic F, van der Zwan J, H""aring M, Braun E, Borm LE, La Manno G, Codeluppi S, Furlan A, Lee K, Skene N, Harris KD, Hjerling-Leffler J, Arenas E, Ernfors P, Marklund U, Linnarsson S.","10.1016/j.cell.2018.06.021","cell"
"71","2018 Aug","30089906","2018","42.778","Nature","RNA velocity of single cells","La Manno G, Soldatov R, Zeisel A, Braun E, Hochgerner H, Petukhov V, Lidschreiber K, Kastriti ME, L""onnerberg P, Furlan A, Fan J, Borm LE, Liu Z, van Bruggen D, Guo J, He X, Barker R, Sundstr""om E, Castelo-Branco G, Cramer P, Adameyko I, Linnarsson S, Kharchenko PV.","10.1038/s41586-018-0414-6","nature"
"72","2018 Jul","29942086","2018","27.603","Nat Genet","Genome-wide association meta-analysis in 269,867 individuals identifies new genetic and functional links to intelligence","Savage JE, Jansen PR, Stringer S, Watanabe K, Bryois J, de Leeuw CA, Nagel M, Awasthi S, Barr PB, Coleman JRI, Grasby KL, Hammerschlag AR, Kaminski JA, Karlsson R, Krapohl E, Lam M, Nygaard M, Reynolds CA, Trampush JW, Young H, Zabaneh D, H""agg S, Hansell NK, Karlsson IK, Linnarsson S, Montgomery GW, Mu~noz-Manchado AB, Quinlan EB, Schumann G, Skene NG, Webb BT, White T, Arking DE, Avramopoulos D, Bilder RM, Bitsios P, Burdick KE, Cannon TD, Chiba-Falek O, Christoforou A, Cirulli ET, Congdon E, Corvin A, Davies G, Deary IJ, DeRosse P, Dickinson D, Djurovic S, Donohoe G, Conley ED, Eriksson JG, Espeseth T, Freimer NA, Giakoumaki S, Giegling I, Gill M, Glahn DC, Hariri AR, Hatzimanolis A, Keller MC, Knowles E, Koltai D, Konte B, Lahti J, Le Hellard S, Lencz T, Liewald DC, London E, Lundervold AJ, Malhotra AK, Melle I, Morris D, Need AC, Ollier W, Palotie A, Payton A, Pendleton N, Poldrack RA, R""aikk""onen K, Reinvang I, Roussos P, Rujescu D, Sabb FW, Scult MA, Smeland OB, Smyrnis N, Starr JM, Steen VM, Stefanis NC, Straub RE, Sundet K, Tiemeier H, Voineskos AN, Weinberger DR, Widen E, Yu J, Abecasis G, Andreassen OA, Breen G, Christiansen L, Debrabant B, Dick DM, Heinz A, Hjerling-Leffler J, Ikram MA, Kendler KS, Martin NG, Medland SE, Pedersen NL, Plomin R, Polderman TJC, Ripke S, van der Sluis S, Sullivan PF, Vrieze SI, Wright MJ, Posthuma D.","10.1038/s41588-018-0152-6","nature genetics"
"73","2018 Jul","29942085","2018","27.603","Nat Genet","Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways","Nagel M, Jansen PR, Stringer S, Watanabe K, de Leeuw CA, Bryois J, Savage JE, Hammerschlag AR, Skene NG, Mu~noz-Manchado AB; 23andMe Research Team, White T, Tiemeier H, Linnarsson S, Hjerling-Leffler J, Polderman TJC, Sullivan PF, van der Sluis S, Posthuma D.","10.1038/s41588-018-0151-7","nature genetics"
"74","2018 Jun","29785013","2018","27.603","Nat Genet","Genetic identification of brain cell types underlying schizophrenia","Skene NG, Bryois J, Bakken TE, Breen G, Crowley JJ, Gaspar HA, Giusti-Rodriguez P, Hodge RD, Miller JA, Mu~noz-Manchado AB, O'Donovan MC, Owen MJ, Pardi~nas AF, Ryge J, Walters JTR, Linnarsson S, Lein ES; Major Depressive Disorder Working Group of the Psychiatric Genomics Consortium, Sullivan PF, Hjerling-Leffler J.","10.1038/s41588-018-0129-5","nature genetics"
"75","2018 Jun","29686262","2018","20.071","Nat Neurosci","Neuronal atlas of the dorsal horn defines its architecture and links sensory input to transcriptional cell types","H""aring M, Zeisel A, Hochgerner H, Rinwa P, Jakobsson JET, L""onnerberg P, La Manno G, Sharma N, Borgius L, Kiehn O, Lagerstr""om MC, Linnarsson S, Ernfors P.","10.1038/s41593-018-0141-1","nature neuroscience"
"76","2018 Feb","29335606","2018","20.071","Nat Neurosci","Conserved properties of dentate gyrus neurogenesis across postnatal development revealed by single-cell RNA sequencing","Hochgerner H, Zeisel A, L""onnerberg P, Linnarsson S.","10.1038/s41593-017-0056-2","nature neuroscience"
"77","2017 Aug 18","28818916","2017","41.845","Science","A pathology atlas of the human cancer transcriptome","Uhlen M, Zhang C, Lee S, Sj""ostedt E, Fagerberg L, Bidkhori G, Benfeitas R, Arif M, Liu Z, Edfors F, Sanli K, von Feilitzen K, Oksvold P, Lundberg E, Hober S, Nilsson P, Mattsson J, Schwenk JM, Brunnstr""om H, Glimelius B, Sj""oblom T, Edqvist PH, Djureinovic D, Micke P, Lindskog C, Mardinoglu A, Ponten F.","10.1126/science.aan2507","science"
"78","2017 May 26","28495876","2017","41.845","Science","A subcellular map of the human proteome","Thul PJ, Akesson L, Wiking M, Mahdessian D, Geladaki A, Ait Blal H, Alm T, Asplund A, Bj""ork L, Breckels LM, B""ackstr""om A, Danielsson F, Fagerberg L, Fall J, Gatto L, Gnann C, Hober S, Hjelmare M, Johansson F, Lee S, Lindskog C, Mulder J, Mulvey CM, Nilsson P, Oksvold P, Rockberg J, Schutten R, Schwenk JM, Sivertsson A, Sj""ostedt E, Skogs M, Stadler C, Sullivan DP, Tegel H, Winsnes C, Zhang C, Zwahlen M, Mardinoglu A, Pont'en F, von Feilitzen K, Lilley KS, Uhl'en M, Lundberg E.","10.1126/science.aal3321","science"
"79","2017 Dec 7","29174331","2017","20.860","Cell Stem Cell","Constitutively Active SMAD2/3 Are Broad-Scope Potentiators of Transcription-Factor-Mediated Cellular Reprogramming","Ruetz T, Pfisterer U, Di Stefano B, Ashmore J, Beniazza M, Tian TV, Kaemena DF, Tosti L, Tan W, Manning JR, Chantzoura E, Ottosson DR, Collombet S, Johnsson A, Cohen E, Yusa K, Linnarsson S, Graf T, Parmar M, Kaji K.","10.1016/j.stem.2017.10.013","cell stem cell"
"80","2017 Oct 6","28983044","2017","41.845","Science","The promise of spatial transcriptomics for neuroscience in the era of molecular cell typing","Lein E, Borm LE, Linnarsson S.","10.1126/science.aan6827","science"
"81","2017 May","28398344","2017","36.558","Nat Biotechnol","Induction of functional dopamine neurons from human astrocytes in vitro and mouse astrocytes in a Parkinson's disease model","Rivetti di Val Cervo P, Romanov RA, Spigolon G, Masini D, Mart'in-Monta~nez E, Toledo EM, La Manno G, Feyder M, Pifl C, Ng YH, S'anchez SP, Linnarsson S, Wernig M, Harkany T, Fisone G, Arenas E.","10.1038/nbt.3835","nature biotechnology"
"82","2017 Feb","27991900","2017","20.071","Nat Neurosci","Molecular interrogation of hypothalamic organization reveals distinct dopamine neuronal subtypes","Romanov RA, Zeisel A, Bakker J, Girach F, Hellysaz A, Tomer R, Alp'ar A, Mulder J, Clotman F, Keimpema E, Hsueh B, Crow AK, Martens H, Schwindling C, Calvigioni D, Bains JS, M'at'e Z, Szab'o G, Yanagawa Y, Zhang MD, Rendeiro A, Farlik M, Uhl'en M, Wulff P, Bock C, Broberger C, Deisseroth K, H""okfelt T, Linnarsson S, Horvath TL, Harkany T.","10.1038/nn.4462","nature neuroscience"
"83","2016 Oct","27595404","2016","30.822","Nat Methods","A proposal for validation of antibodies","Uhlen M, Bandrowski A, Carr S, Edwards A, Ellenberg J, Lundberg E, Rimm DL, Rodriguez H, Hiltke T, Snyder M, Yamamoto T.","10.1038/nmeth.3995","nature methods"
"84","2016 Mar","26963549","2016","36.558","Nat Biotechnol","Voices of biotech","Amit I, Baker D, Barker R, Berger B, Bertozzi C, Bhatia S, Biffi A, Demichelis F, Doudna J, Dowdy SF, Endy D, Helmstaedter M, Junca H, June C, Kamb S, Khvorova A, Kim DH, Kim JS, Krishnan Y, Lakadamyali M, Lappalainen T, Lewin S, Liao J, Loman N, Lundberg E, Lynd L, Martin C, Mellman I, Miyawaki A, Mummery C, Nelson K, Paz J, Peralta-Yahya P, Picotti P, Polyak K, Prather K, Qin J, Quake S, Regev A, Rogers JA, Shetty R, Sommer M, Stevens M, Stolovitzky G, Takahashi M, Tang F, Teichmann S, Torres-Padilla ME, Tripathi L, Vemula P, Verdine G, Vollmer F, Wang J, Ying JY, Zhang F, Zhang T.","10.1038/nbt.3502","nature biotechnology"
"85","2016 Jul 1","27365449","2016","41.845","Science","Visualization and analysis of gene expression in tissue sections by spatial transcriptomics","Stahl PL, Salm'en F, Vickovic S, Lundmark A, Navarro JF, Magnusson J, Giacomello S, Asp M, Westholm JO, Huss M, Mollbrink A, Linnarsson S, Codeluppi S, Borg A, Pont'en F, Costea PI, Sahl'en P, Mulder J, Bergmann O, Lundeberg J, Fris'en J.","10.1126/science.aaf2403","science"
"86","2016 Oct 6","27716510","2016","38.637","Cell","Molecular Diversity of Midbrain Development in Mouse, Human, and Stem Cells","La Manno G, Gyllborg D, Codeluppi S, Nishimura K, Salto C, Zeisel A, Borm LE, Stott SRW, Toledo EM, Villaescusa JC, L""onnerberg P, Ryge J, Barker RA, Arenas E, Linnarsson S.","10.1016/j.cell.2016.09.027","cell"
"87","2016 Sep 22","27662094","2016","38.637","Cell","Single-Cell RNA-Seq Reveals Lineage and X Chromosome Dynamics in Human Preimplantation Embryos","Petropoulos S, Edsg""ard D, Reinius B, Deng Q, Panula SP, Codeluppi S, Reyes AP, Linnarsson S, Sandberg R, Lanner F.","10.1016/j.cell.2016.08.009","cell"
"88","2016 Oct","27571008","2016","20.071","Nat Neurosci","Visceral motor neuron diversity delineates a cellular basis for nipple- and pilo-erection muscle control","Furlan A, La Manno G, L""ubke M, H""aring M, Abdo H, Hochgerner H, Kupari J, Usoskin D, Airaksinen MS, Oliver G, Linnarsson S, Ernfors P.","10.1038/nn.4376","nature neuroscience"
"89","2016 Jul 1","27365449","2016","41.845","Science","Visualization and analysis of gene expression in tissue sections by spatial transcriptomics","Stahl PL, Salm'en F, Vickovic S, Lundmark A, Navarro JF, Magnusson J, Giacomello S, Asp M, Westholm JO, Huss M, Mollbrink A, Linnarsson S, Codeluppi S, Borg A, Pont'en F, Costea PI, Sahl'en P, Mulder J, Bergmann O, Lundeberg J, Fris'en J.","10.1126/science.aaf2403","science"
"90","2016 Jun 10","27284195","2016","41.845","Science","Oligodendrocyte heterogeneity in the mouse juvenile and adult central nervous system","Marques S*, Zeisel A*, Codeluppi S, van Bruggen D, Mendanha Falc~ao A, Xiao L, Li H, H""aring M, Hochgerner H, Romanov RA, Gyllborg D, Mu~noz Manchado A, La Manno G, L""onnerberg P, Floriddia EM, Rezayee F, Ernfors P, Arenas E, Hjerling-Leffler J, Harkany T, Richardson WD, Linnarsson S, Castelo-Branco G.","10.1126/science.aaf6463","science"
"91","2016 Jul","27135602","2016","20.479","Nat Immunol","Origin, fate and dynamics of macrophages at central nervous system interfaces","Goldmann T, Wieghofer P, Jord~ao MJ, Prutek F, Hagemeyer N, Frenzel K, Amann L, Staszewski O, Kierdorf K, Krueger M, Locatelli G, Hochgerner H, Zeiser R, Epelman S, Geissmann F, Priller J, Rossi FM, Bechmann I, Kerschensteiner M, Linnarsson S, Jung S, Prinz M.","10.1038/ni.3423","nature immunology"
"92","2016 May 5","27062923","2016","38.637","Cell","Single-Cell RNA-Seq Reveals Lineage and X Chromosome Dynamics in Human Preimplantation Embryos","Petropoulos S, Edsg""ard D, Reinius B, Deng Q, Panula SP, Codeluppi S, Plaza Reyes A, Linnarsson S, Sandberg R, Lanner F.","10.1016/j.cell.2016.03.023","cell"
"93","2016 Feb","26689544","2016","36.558","Nat Biotechnol","Integration of electrophysiological recordings with single-cell RNA-seq data identifies neuronal subtypes","Fuzik J*, Zeisel A*, M'at'e Z, Calvigioni D, Yanagawa Y, Szab'o G, Linnarsson S, Harkany T.","10.1038/nbt.3443","nature biotechnology"
